Title,Body,CAT,Author,Link,Key (Guitar),Alternative Title,Guitar Chords
The Battle belongs to You,"When all I see is the battle
You see my victory
When all I see is the mountain
You see a mountain moved
And as I walk through the shadow
Your love surrounds me
There’s nothing to fear now
For I am safe with You

So when I fight I’ll fight on my knees
With my hands lifted high
Oh God the battle belongs to You
And every fear I lay at Your feet
I’ll sing through the night
Oh God the battle belongs to You

And if You are for me
Who can be against me (yeah)
For Jesus there’s nothing
Impossible for You
When all I see are the ashes
You see the beauty (thank You God)
When all I see is a cross
God You see the empty tomb

So when I fight I’ll fight on my knees
With my hands lifted high
Oh God the battle belongs to You
And every fear I lay at Your feet
I’ll sing through the night
Oh God the battle belongs to You

Almighty Fortress You go before us
Nothing can stand against
The power of our God
You shine in the shadow
You win every battle
Nothing can stand against
The power of our God

Almighty Fortress You go before us
Nothing can stand against
The power of our God
You shine in the shadow
You win every battle
Nothing can stand against
The power of our God

Almighty Fortress You go before us
Nothing can stand against
The power of our God
You shine in the shadows
You win every battle
Nothing can stand against
The power of our God

So when I fight I’ll fight on my knees
With my hands lifted high
Oh God the battle belongs to You
And every fear I lay at Your feet
I’ll sing through the night
Oh God the battle belongs to You

Oh God the battle belongs to You",Worship,Phil Wickam,,,,
Yet Not I But Through Christ In Me,"What gift of grace is Jesus my redeemer
There is no more for heaven now to give
He is my joy, my righteousness, and freedom
My steadfast love, my deep and boundless peace

To this I hold, my hope is only Jesus
For my life is wholly bound to his
Oh how strange and divine, I can sing: all is mine!
Yet not I, but through Christ in me

The night is dark but I am not forsaken
For by my side, the Saviour He will stay
I labour on in weakness and rejoicing
For in my need, His power is displayed

To this I hold, my Shepherd will defend me
Through the deepest valley He will lead
Oh the night has been won, and I shall overcome!
Yet not I, but through Christ in me

No fate I dread, I know I am forgiven
The future sure, the price it has been paid
For Jesus bled and suffered for my pardon
And He was raised to overthrow the grave

To this I hold, my sin has been defeated
Jesus now and ever is my plea
Oh the chains are released, I can sing: I am free!
Yet not I, but through Christ in me

With every breath I long to follow Jesus
For He has said that He will bring me home
And day by day I know He will renew me
Until I stand with joy before the throne

To this I hold, my hope is only Jesus
All the glory evermore to Him
When the race is complete, still my lips shall repeat:
Yet not I, but through Christ in me!

When the race is complete, still my lips shall repeat:
Yet not I, but through Christ in me!
Yet not I, but through Christ in me!
Yet not I, but through Christ in me!",Worship,CityAlight,,,,
Adonai,"Lord of eternity
The mystery behind the veil
Lord over Heaven and earth
God of Israel

Come with Your wisdom and power
Clothed in Your honor and strength
Lord hear the cry of our hearts
Come O conquering King

And every eye will see
Your glory fill the sky

Adonai Adonai
Every knee will to You Lord Most High
Adonai Adonai
You alone are God every tongue will cry
Adonai

Here Jerusalem waits
Praises lifted on high
Here the beautiful gates
Long to see You arise

When all of Zion sings
Baruch ha ba b’shem

You are the Lord over all the earth
You are the Lord over all the earth",Proclamation,Paul Wilbur,https://www.youtube.com/watch?v=H3W0kLEujrw,,,
Agnus dei,"Alleluia
Alleluia
For the Lord God Almighty reigns

Alleluia
Alleluia
For the Lord God Almighty reigns

Alleluia
Holy
Holy are You Lord God Almighty
Worthy is the Lamb
Worthy is the Lamb

You are holy
Holy are you Lord God Almighty
Worthy is the Lamb
Worthy is the Lamb

Amen",Adoration,Michael W. Smith,,,,
Blessed Be Your Name,"Blessed Be Your name 
In the land that is plentiful
Where Your streams of abundance flow 
Blessed be Your name

Blessed Be Your name 
When I'm found in the desert place
Though I walk through the wilderness 
Blessed Be Your name

Every blessing You pour out
I'll Turn back to praise
When the darkness closes in Lord
Still I will say

Blessed be the name of the Lord 
Blessed be Your name
Blessed be the name of the Lord 
Blessed be Your glorious name

Blessed be Your name 
When the sun's shining down on me
When the world's 'all as it should be' 
Blessed be Your name
Blessed be Your name 
On the road marked with suffering
Though there's pain in the offering 
Blessed be Your name

You give and take away 
You give and take away
My heart will choose to say 
Lord blessed be Your name",,Matt Redman,,C,,
Build My Life,"Worthy of every song we could ever sing
Worthy of all the praise we could ever bring
Worthy of every breath we could ever breathe
We live for You

Jesus, the name above every other name
Jesus, the only one who could ever save
Worthy of every breath we could ever breathe
We live for You

Holy, there is no one like You
There is none beside You
Open up my eyes in wonder
Show me who You are
And fill me with Your heart
And lead me in Your love to those around me

I will build my life upon Your love
It is a firm foundation
I will put my trust in You alone
And I will not be shaken
I will build my life upon Your love
It is a firm foundation
I will put my trust in You alone
And I will not be shaken",,Matt Redman,,E,,
Draw me close to you,"Draw me close to You
Never let me go
I lay it all down again
To hear You say that I'm Your friend
You are my desire
No one else will do
'Cause nothing else can take Your place
To feel the warmth of Your embrace
Help me find the way
Bring me back to You

You're all I want
You're all I've ever needed
You're all I want
Help me know You are near",,Michael W. Smith,,A,,
Foverer,"The moon and stars they wept
The morning sun was dead
The savior of the world was fallen
His body on the cross
His blood poured out for us
The weight of every curse upon him

One final breath he gave
As heaven looked away
The son of God was laid in darkness
A battle in the grave
The war on death was waged
The power of hell forever broken

The ground began to shake
The stone was rolled away
His perfect love could not be overcome
Now death where is your sting
Our resurrected king has rendered you defeated

Forever, he is glorified
Forever, he is lifted high
Forever, He is risen
He is alive
He is alive

We sing hallelujah
We sing hallelujah
We sing hallelujah
The lamb has overcome",,Kari Jobe,,G,,
Glorify Thy Name,"Father (Jesus/ Spirit), we love You
We worship and adore You
Glorify Thy Name in all the earth

(And we will)
Glorify Thy Name
Glorify Thy Name
Glorify Thy Name in all the earth
",,,,C,,
God So Loved,"Come all you weary Come all you thirsty
Come to the well That never runs dry
Drink of the water Come and thirst no more

Well, come all you sinners Come find His mercy
Come to the table He will satisfy
Taste of His goodness Find what you're looking for

For God so loved The world that He gave us
His one and only Son to save us
Whoever believes in Him Will live forever

Bring all your failures Bring your addictions 
Come lay them down At the foot of the cross
Jesus is waiting there With open arms
Can you see His open arms? Here we go

For God so loved The world that He gave us
His one and only Son to save us
Whoever believes in Him Will live forever

The power of hell Forever defeated
Now it is well I'm walking in freedom
For God so loved God so loved the world

Praise Him Praise Him
For the wonders of His love (praise God)
His amazing love
",Proclamation,We the Kingdom,,E,,
